factor	question	text	source	options	pattern	structure
18	153	It can be difficult to get DOG's attention when HE is engaged in a repetitive behavior.	NA	Strongly Agree to Strongly Disagree	-0.0016075289774506733	0.20147561562865568
19	208	DOG hangs around for tidbits even if there is not much chance of getting them	DORA	Never to Always	0.8796695224867359	0.6433335082445739
19	210	DOG hangs around when I am preparing or eating human food	DORA	Never to Always	0.7903100484201838	0.5875692139971976
19	206	DOG gets excited when there is food around	DORA	Never to Always	0.5558731258864508	0.43363684501882566
19	213	After a meal DOG is still interested in eating	DORA	Never to Always	0.2291559843750856	0.2037798522783572
20	35	DOG escapes from cages, kennels, or enclosures	NA	Never to Always	-0.4651409072483174	-0.3016985014521965
20	100	DOG places HIS paw on my or other people's feet	NA	Never to Always	-0.39379690047652055	-0.30411022887054723
20	98	DOG crosses HIS front paws	NA	Never to Always	-0.38237173585881423	-0.2816024113636042
20	40	DOG damages doors, gates, or walls	NA	Never to Always	-0.3735604777071297	-0.25549405633836064
20	17	DOG howls	NA	Never to Always	-0.37252356451819696	-0.26076495601365157
20	19	DOG whines when alone	NA	Never to Always	-0.37049371078354476	-0.2641550517699412
20	32	DOG is quick to sneak out through open doors, gates	DPQ	Strongly Agree to Strongly Disagree	0.3653478805321142	0.23730599942634636
20	58	DOG can be very persistent	DIAS	Strongly Agree to Strongly Disagree	0.35181758932376883	0.257078062902128
20	18	DOG Woo-woo barks	NA	Never to Always	-0.3495837354620423	-0.25150740333250793
20	20	DOG whines to get attention, food, or toys	NA	Never to Always	-0.33419389480126277	-0.24907240466050454
20	96	DOG tilts HIS head	NA	Never to Always	-0.32901825418037317	-0.27301129475689623
20	59	DOG points	NA	Strongly Agree to Strongly Disagree	0.3121489739503888	0.2727135173084053
20	106	DOG is curious	DPQ	Strongly Agree to Strongly Disagree	0.3032310706296563	0.2354753532446555
20	99	DOG shows handedness or side-preference	NA	Never to Always	-0.2848093502959888	-0.2029473251400812
20	29	DOG buries toys / bones	NA	Never to Always	-0.25826899699931016	-0.20187915536656362
21	26	DOG is as active as HE has been	CHQLS	Strongly Agree to Strongly Disagree	0.6648421078654868	0.5461390494165189
21	25	DOG moves normally	CHQLS	Strongly Agree to Strongly Disagree	0.5514160362960123	0.4555480174279113
21	220	I restrict DOG's exercise because of veterinary advice	DORA	Not True to Definitely True	0.5293188810424881	0.41191121882693454
21	226	DOG gets a lot of exercise	DORA	Not True to Definitely True	-0.5192455617395775	-0.444821563826107
21	228	DOG runs around a lot	DORA	Never to Always	-0.46544745744588173	-0.4336481024396885
21	217	DOG is very fit	DORA	Not True to Definitely True	-0.42498280533213206	-0.40100922899144426
21	222	DOG's walks involve a lot of energetic play or chasing	DORA	Not True to Definitely True	-0.3387968155194359	-0.3203656219582395
21	33	DOG sleeps more, is less awake	CHQLS	Strongly Agree to Strongly Disagree	-0.28879095202478183	-0.28332205643082814
21	235	DOG regularly sees the vet for health problems	DORA	Not True to Definitely True	0.2745576794476662	0.24219516296985877
21	101	DOG is lethargic	DPQ	Strongly Agree to Strongly Disagree	-0.2387473126120745	-0.26579000095868405
21	103	DOG seems dull or depressed, not alert	CHQLS	Strongly Agree to Strongly Disagree	-0.19745562447448872	-0.22956746970365643
22	87	DOG shows aggression when nervous or fearful	DPQ	Strongly Agree to Strongly Disagree	0.8135993309175908	0.6500018912796368
22	44	DOG behaves aggressively in response to perceived threats from people (e.g., being cornered, having collar reached for)	DPQ	Strongly Agree to Strongly Disagree	0.7486880693604143	0.5861253348726264
22	85	DOG behaves aggressively during visits to the veterinarian	DPQ	Strongly Agree to Strongly Disagree	0.7059357128471866	0.5329976956070622
22	48	DOG behaves aggressively towards unfamiliar people	DPQ	Strongly Agree to Strongly Disagree	0.6498130853063091	0.5170039369771806
22	9	DOG may become aggressive if HE is frustrated with something	DIAS	Strongly Agree to Strongly Disagree	0.6198035676513388	0.5413738269003122
22	3	DOG becomes aggressive when excited	DIAS	Strongly Agree to Strongly Disagree	0.4827080731520725	0.4630191526231264
22	16	DOG aggressively guards coveted items (e.g., stolen item, treats, food bowl)	DPQ	Strongly Agree to Strongly Disagree	0.3759383263290859	0.37372406805719033
22	38	DOG shows barrier aggression	NA	Never to Always	-0.3240927890860329	-0.3400117266995218
22	82	DOG exhibits fearful behaviors when HE is restrained	DPQ	Strongly Agree to Strongly Disagree	0.249779881003709	0.24391686387633169
22	51	DOG chases bicycles, joggers, and skateboarders	DPQ	Strongly Agree to Strongly Disagree	0.24050070926134573	0.2457157892631936
22	71	DOG behaves aggressively toward other dogs	DPQ	Strongly Agree to Strongly Disagree	0.2015113388993355	0.36664882715166525
22	168	DOG is gentle with small children	CDTT	Strongly Agree to Strongly Disagree	-0.19384539609024182	-0.21315422408671283
22	72	DOG willingly shares HIS toys with other dogs	DPQ	Strongly Agree to Strongly Disagree	-0.08794529668715807	-0.2230202957365119
22	79	DOG is assertive or pushy with other dogs (e.g., if in a home with other dogs, when greeting)	DPQ	Strongly Agree to Strongly Disagree	-0.03344212557302827	0.20310669938684467
22	75	DOG is friendly towards other dogs	DPQ	Strongly Agree to Strongly Disagree	-0.019802732822481097	-0.2078234862477419
22	73	DOG is dominant over other dogs	DPQ	Strongly Agree to Strongly Disagree	-0.009169975347492403	0.23920760543389263
23	24	DOG likes to chase squirrels, birds, or other small animals	DPQ	Strongly Agree to Strongly Disagree	0.5272189124946248	0.380236260660099
23	78	DOG behaves aggressively towards cats	DPQ	Strongly Agree to Strongly Disagree	0.3740328502410689	0.28599325231196276
23	28	DOG eats grass	NA	Never to Always	-0.2842783057078327	-0.22927167366429504
24	83	DOG behaves fearfully when groomed (e.g., nails trimmed, brushed, bathed, ears cleaned)	DPQ	Strongly Agree to Strongly Disagree	0.45395515697049926	0.280499272784415
24	20	DOG whines to get attention, food, or toys	NA	Never to Always	-0.3620097069687949	-0.25389806932165393
24	88	DOG behaves fearfully during visits to the veterinarian	DPQ	Strongly Agree to Strongly Disagree	0.3530461933185509	0.2185702283291142
25	101	DOG is lethargic	DPQ	Strongly Agree to Strongly Disagree	-0.7430557647970776	-0.5310144182887938
25	103	DOG seems dull or depressed, not alert	CHQLS	Strongly Agree to Strongly Disagree	-0.6650120625268932	-0.4896056375117737
25	33	DOG sleeps more, is less awake	CHQLS	Strongly Agree to Strongly Disagree	-0.5967483985592762	-0.40641253908488656
25	39	DOG lays in one place all day long	CHQLS	Never to Always	0.5259111814469342	0.38281432919067143
25	95	DOG stares blankly at the walls or floor	CCDR	Never to Always	0.42648556646270075	0.3634000650861812
25	56	DOG reacts very quickly	DIAS	Strongly Agree to Strongly Disagree	0.4220047117445131	0.37191963593772925
25	36	DOG gets stuck behind objects and is unable to get around	CCDR	Never to Always	0.3917574599385638	0.33913097281113513
25	61	DOG has difficulty finding food dropped on the floor	CCDR	Never to Always	0.37633244633478163	0.3518170245898316
25	25	DOG moves normally	CHQLS	Strongly Agree to Strongly Disagree	0.30664716295385835	0.24235602741944803
25	6	DOG seeks constant activity	DPQ	Strongly Agree to Strongly Disagree	0.3063391683530842	0.21297173197197572
25	58	DOG can be very persistent	DIAS	Strongly Agree to Strongly Disagree	0.2973466752957471	0.2688151435100062
25	106	DOG is curious	DPQ	Strongly Agree to Strongly Disagree	0.27506310495993164	0.2972551658299877
25	80	DOG sometimes fails to recognize familiar people or pets	CCDR	Strongly Agree to Strongly Disagree	-0.27500158233517286	-0.2209167454046685
25	94	DOG pants frequently, even at rest	CHQLS	Strongly Agree to Strongly Disagree	-0.26597481955242247	-0.23919967584724655
25	150	How much time in a normal day does DOG spend showing trance-like behaviour?	NA	None to 5+ hr	0.2564368858072656	0.2337615636605397
25	1	DOG enjoys life	CHQLS	Strongly Agree to Strongly Disagree	0.245156756442605	0.23409278825837634
25	228	DOG runs around a lot	DORA	Never to Always	-0.24391636688852628	-0.2163459458581421
25	217	DOG is very fit	DORA	Not True to Definitely True	-0.21240449255878058	-0.23344165736313172
25	93	DOG paces up and down, walks in circles and/or wanders with no direction or purpose	CCDR	Strongly Agree to Strongly Disagree	-0.21089428075649566	-0.24995502539867315
25	102	DOG is confident	DPQ	Strongly Agree to Strongly Disagree	0.2066203015631488	0.25926714680718393
